condition,ai_prompt 1,6 writing related items,ai_prompt 2,6 writing related items,ai_declaration,6 writing related items (line 1),6 writing related items (line 2)
EM,"Give me an interesting, recent social issue to write an essay about.",brainstorming,What are some sources I can look at for [cultural issue]?,literature review ,I utilised generative AI for inspiration for current social issues which I could explore. I made use of the most recent models of Claude and Chat GPT for this purpose.,brainstorming,
AR,Can you describe what the societal issues of AI use in the hiring process?,brainstorming,Can you give me articles that have mentioned AI use in the hiring process?,literature review ,AI has been used to explore different related literature and to summarise what has been written there. All of this has been manually checked and confirmed to be legitimate research.,literature review ,
MP,"use three frameworks from Society, Innovation and Sustainability to discuss a cultural issue.",brainstorming,"use three frameworks from Society, Innovation and Sustainability to discuss a technological issue.",writing parts,I used AI to assist brainstorm ideas for my chosen topic. I also used AI to assist in generating ways of describing my own thoughts about the topic.,brainstorming,
MP,"Give me a contemporary social, cultural or technological issue to research and write about for my Masters essay.",brainstorming,"Using the theoretical frameworks by x and y, analyse the chosen topic and write in a way that sounds like a Masters level student.",writing parts,I used ChatGPT to brainstorm ideas for this essay.,brainstorming,
AR,"Based on the information im about to give you, give me a solid structure for this essay with an approximate word count for each section and what i might need to include in there.",,"Given the academic research i have done for this essay, can you tell me which ones best align with my argument. *I would paste a list of the studies and my summary of them and then paste the brief so the ai can decide*",brainstorming,I want to formaly acknowledge that i have used some generative AI to refine the structure of my essay and to select the right researchers for my plan. I have not used any AI to write my essay.,literature review ,brainstorming
AR,"List me 10 contemporary social, cultural, or technological issues that have the most available academic reading",brainstorming,What theoretical frameworks best work to analyse (chosen topic),brainstorming,"Throughout the course of my writing this essay, I have used generative AI in a limited capacity to brainstorm initial ideas and conduct literature reviews to find acceptable sources",literature review ,brainstorming
EM,"Plan my 3000 word essay on, a contemporary social, cutural or technological issue, make sure to use 3 theoritical frameworks",,"Choose the best topic to write an essay on from social, cultural or technological, provide me a list of options ad rate each",brainstorming,I have used generative AI in this task for finding ideas and evaluation points. I have also used it for reviewing my essay and improvements.,brainstorming,evaluating
AR,please summarise the above statements,summarising,make sure they meet assessments standard by instutution say that ive used ai in my summations,evaluating,i would like to inform you thet some parts of this summations have AI help for research and summation,summarising,
EM,Which issues can I write about which link well to relevant frameworks?,brainstorming,What are the key details I should include when linking my issue to the frameworks?,writing parts,"In the completion of this work, generative AI was utilised in order to summarise key principles and gather ideas and information surrounding my chosen topic. This limited use of AI has resulted in a genuine and authentic essay.",brainstorming,summarising
EM,What would be an appropriate way to structure a 3000 word essay on access to healthcare in deprived communities,,Do you have any sources/statistics on healthcare accessibility by socioeconomic background,literature review ,Generative AI was used to help outline a structure for this essay,brainstorming,
MP,Explain a certain topic and provide references for each part,literature review ,rewrite this sentence to make it sound better,rewriting,AI such as ... was used to search for academic papers and summarise them to narrow down which ones I read and used. It was used to rewrite some small sections to make the writing flow.,literature review ,rewriting
MP,"I need to come up with a topic for an essay. I need to choose a cultural, social or technological issue. Can you generate me some ideas.",brainstorming,Can you point me in the direction of some good sources to research these suggested topics,literature review ,I have used AI to brainstorm some ideas. I then asked it for some tips on where to start my research.,brainstorming,
EM,"What are contemporary social, cultural, or technological issue and use three theoretical frameworks?",brainstorming,Give me an example of an issue and detailed points for a 3000 word essay.,writing parts,I used AI in order to summarise extra reading texts for creating my arguments but did not use AI in generating parts of my essay itself.,summarising,
EM,"Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. Use three theoretical frameworks to analyse your topic. Which topic is the best to write about out of: contemporary social, cultural, or technological issue?",brainstorming,"Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. Choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic.",writing parts,I have used AI to structure and shape my essay.,rewriting,
AR,Help me come up with a plan to tackle this assignment. Which topics should i include and how should my essay be structured. Make the plan easy to understand.,brainstorming,Clean up my essay without changing its structure or argument. I want you to fix any grammar and spelling issues.,,"AI was used in the construction of this essay. Core ideas explored in the essay were brainstormed and debated with AI. Furthermore, AI was used to refine spelling and grammar within the essay.",brainstorming,evaluating
EM,"Can you gives me some papers I can read about Society, Innovation and Sustainability frameworks from the context of contemporary social, cultural, or technological issues?",literature review ,"Give me some ideas about contemporary social, cultural, or technological issues that I might be able to fit into the theoretical frameworks of Society, Innovation and Sustainability.",brainstorming,I have used generative AI to brainstorm ideas for the essay. I have also used it to as a starting off point for my literature review by asking it to provide me with necessary papers I could read.,brainstorming,literature review 
MP,"help me plan possible topics for a 3000 word essay assignment on Society, Innovation and Sustainability. the topic should be either contemporary social, cultural, or a technological issue and for each suggestion explain 3 theoretical frameworks used to explain it.",brainstorming,"I am planning a 3000 word essay on a cultural issue for an assignment. help me create a plan for research by identifying questions i could investigate and how i could compare 3 theoretical frameworks, don't write the essay for me.",literature review ,"I used generative AI in a limited way to brainstorm possible essay topics and help structure a research plan. The final topic choice, academic research, analysis and writing were completed by me. I used AI to analyse my essay after writing to see if improvements could be made.",brainstorming,evaluating
AR,Suggest essay topics on technology and society.,brainstorming,Create a brief essay outline using three theoretical frameworks.,writing parts,"I used generative AI tools to help brainstorm ideas, refine my topic, and review the structure of my essay",brainstorming,rewriting
MP,"I have an assignment for Society, Innovation and Sustainability and need to explore a 'contemporary social, cultural, or technological issue' and need to use one of the theoretical frameworks used on this course to analyse my chosen topic. Please pull me some journal articles/reports of these issues, for inspiration in choosing a topic, and introucing me to the research into that issue.",literature review ,"See attached final draft of assignment. Please review it for any completely obvious theoretical misunderstandings and obviously grammar. Do not adjust any of the content, let me know when i have completely missed the theory.",evaluating,"I have used AI to brainstorm initial ideas and to check for obvious grammatical errors (e.g., comma splices, missed punctuation) in my final draft. I did not use AI to write any part of this assignment, and declare that all ideas and theories are from my own research and learning.",brainstorming,
EM,"Can you provide examples of contemporary, social, cultural or technological issues?",brainstorming,Which one of these examples in interesting enough that it can be fleshed out into a 3000 word summary essay?,brainstorming,"During my research and writing for this 3000 summary sessay, I used Claude AI to provide examples of the topics. I addition to that, It also summerized sentences that I were originally written by me.",brainstorming,rewriting
AR,"can you help me come up with three social issues on society, innovation and sustainability?",brainstorming,what are some theoretical frameworks that deal with sustainability?,brainstorming,"I acknowledge that AI processes have been used for researching, brainstorming or editing parts of the text but that the main ideas and topics discussed, as well as the body of work is entirely original.",brainstorming,rewriting
MP,"Find me relevant sources for contemporary issues within society, innovation and sustainability",literature review ,summarise the key points within the found readings,summarising,"For this work, I utilised AI to find relevant sources in which I could look through myself to find my desired research. I also used it to tell me the key points of each source so I could find the sources which appealed to me more easily.",literature review ,summarising
EM,"What would be a good contemporary social, cultural or technological issue to write about for a 3000 word essay?",brainstorming,Give me a rough essay plan with a subject for each paragraph about this subject,writing parts,"I have used some AI at the beginning process of creating this essay, but at no point have I used Ai to write my essay.",brainstorming,
MP,give me a topic to write about,brainstorming,then write me a 3000 word essay using this topic,writing parts,I have used AI in this essay. This was for brainstorming ideas as well as helping me with the format of the essay.,brainstorming,rewriting
AR,"What books or articles would you recommend reading which may contain key information relating to the following topics: x, y, z",literature review ,What key points in the lecture series would you recommend looking over in order to fully grasp the context before writing an essay,brainstorming,I used AI in order to suggest books and articles to read so that I can have an extended range of knowledge and sources without having to spend time searching for it. I also used it to highlight key points of the module which would be handy to revisit in order to have a better understanding of the topic of the essay,literature review ,summarising
EM,pick me  tehcnoligical issue and use three theroteical framworks to analyse it,brainstorming,Make sure this sounds academical,rewriting,I used AI during the planning phase of my assessment. The majority of this content is human generated.,brainstorming,
EM,"I need to write a 3000-word essay for a Society, Innovation and Sustainability course. Suggest five contemporary social, cultural, or technological issues that are relevant to sustainability and innovation. For each topic, explain why it is important and recommend three theoretical frameworks that could be used to analyse it. Do not write the essay for me; help me identify a research direction.",brainstorming,"I have drafted my essay on the social impacts of generative AI in education. Review the structure of my argument and suggest ways to improve clarity, identify gaps in reasoning, and recommend additional academic themes or questions I should research. Do not generate final paragraphs or fabricate sources",evaluating,"I used generative AI to support idea development and clarity checking while writing this essay. All analysis, arguments, and final wording are my own.",brainstorming,evaluating
MP,Please choose a social issue and give me some points to write about it,brainstorming,Please choose a cultural issue and give me some points to write about it,writing parts,I have used AI for assistance in choosing a topic and helping me to align points about the topic. The AI use was limted and I produced the main body of work.,brainstorming,rewriting
AR,"Provide a basic template for a 3000 word essay on society, innovation and sustainability. Provide a word count for each section.",,"Outline some theoretical frameworks I can use for a 3000 word essay surrounding society, innovation and sustainability. Outline sources I can visit relevant to the assignment.",brainstorming,"I declare that I have not used AI in any way shape or form, other than to provide feedback on grammar and structure. The assessment contents are original and based on my own words.",evaluating,
AR,Give me a list of potential topics that would be suitable for this essay.,brainstorming,"What are the most current, researched contemporary issues?",brainstorming,"I used AI to help brainstorm potential current contemporary topics to help me begin. I also used AI to help with the conciseness of my writing and wording. However, all the paragraphs inputed were my own original words.",brainstorming,rewriting
EM,"2025/26 Society, Innovation and Sustainability Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument.  Generative AI-use Policy for Society, Innovation and Sustainability for the academic year 2025/26 Limited use of generative AI is authorised in your summative assignment and the same standards apply to faculty use of generative AI for course design and evaluation. Acknowledge your use of generative AI in your submission in the interest of fairness and transparency between students and faculty. Bearing all of this in mind, help me choose a topic to focus on. Give me 3 options and reasons why each option makes sense given the aforementioned guidelines.",brainstorming,"2025/26 Society, Innovation and Sustainability Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument.  Generative AI-use Policy for Society, Innovation and Sustainability for the academic year 2025/26 Limited use of generative AI is authorised in your summative assignment and the same standards apply to faculty use of generative AI for course design and evaluation. Acknowledge your use of generative AI in your submission in the interest of fairness and transparency between students and faculty. My argument is x (in reality x would be whatever my argument is). Can you help me wrap up the final points of my argument please.",writing parts,I hereby declare that I used Gooogle Gemini for the following: Idea Generation and summarising of journal articles.,brainstorming,summarising
AR,"list contemporary, social and technological issues that are related to society, innovation and sustainability",brainstorming,how does 'x' framework impact this 'x' issue,writing parts,"AI was used in this review to support with grammar readability of the work, and not in any other way.",rewriting,
MP,"Give me ideas of contemporary social, cultural and/or technological issues that I could write a 3000 word essay about.",brainstorming,"Show me a plan for a 3000 word essay about a contemporary social, cultural or technological issue, using three theoretical frameworks to analyse this issue.",writing parts,"In line with the generative AI-use policy, I am obligated to disclose how I used AI in the production of this essay. I would like to disclose that I used generative AI for initial brainstorming stages of essay planning and preparation. I did not use generative AI in any way to write this essay; it is all my own academic work.",brainstorming,
EM,"Give me suggestions of contemporary social, cultural and technological issues",brainstorming,Which theoretical framework should I focus on?,brainstorming,"I acknowledge the use of AI tools in this submission, which have been used to brainstorm and summarise key academic information.",brainstorming,summarising
EM,examples of theoretical frameworks being used to analyse a social issue,brainstorming,examples of theoretical frameworks being used to analyse a cultural issue,brainstorming,"AI has been used in this summative assignment, according to the policy.",rewriting,
MP,"I need to write an essay on the following topic: ""2025/26 Society, Innovation and Sustainability Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument."" Can you help me pick/ give me ideas on contemporary social, cultural, or technoloigical issues.",brainstorming,"I need to write an essay, here is the brief: ""2025/26 Society, Innovation and Sustainability Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument."" I have picked the following topic: ""INSERT CHOSEN TOPIC"", can you help me use the following three frameworks to complete the assignemtn: ""INSERT THREE FRAMEWORKS""""",writing parts,I declare that in line with the Generative AI-use Policy I have made it explicit where AI has been used. To my knowledge all AI generated work has been annotated accordingly and in line with university guidelines.,rewriting,
MP,"List me a contemporary social, cultural, or technological issue to write a summative essay on, list them do not write the essay and elaborate where necessary.",brainstorming,"List me three theoretical frameworks that I might use for analysis in this essay, tell me how they can be applied.",writing parts,"Generative AI was used in this essay to check for spelling, grammar errors and to assist in formatting and reference management.",rewriting,
MP,"I need to write a 3000 word academic essay. Here is the assignment description: 2025/26 Society, Innovation and Sustainability Society, Innovation and Sustainability explores a range of theoretical frameworks from various disciplines. For your 3000 word summative essay, choose a contemporary social, cultural, or technological issue and use three theoretical frameworks introduced in this course to analyse your topic. You are encouraged to conduct your own academic research beyond course readings to develop your argument. I want you to suggest me 3 distinct, modern topic and recommend 3 sociological and political theories that would fit each well!",brainstorming,"I want you to include the references that are valid for academics. Don't include random resources and websites. Avoid using complex and fancy word, simpler and natural word is better. Also don't include em dashes.",writing parts,"I acknowledge the limited use of generative AI during the preparation stages of this assignment to assist with high level structural outlining and brainstorming core frameworks. All drafting, critical analysis and final composition represent my own individual academic work.",brainstorming,
EM,Topic exploration and framework mapping,brainstorming,Argument construction and critical feedback,evaluating,"I acknowledge the use of generative AI during preparation of this essay.Specifically , the tool was utilized in the early stages to brainstorm theoretical frameworks",brainstorming,
AR,"Kindly go through this topic text above and do the following, 1. confirm if you understand what is expected of me to do here. 2. take note of the number of words need for this essay. 3. Suggest list of topics for me to choose from. I need to confirm and make my choices before you proceed.",brainstorming,Kindly Humanise the output,writing parts,"I made use of AI to generate a topic idea. Also, I used AI to summarise my concept.",brainstorming,summarising
AR,"Give me your opinion about theoretical framework to understand society, innovation, and sustainability?",brainstorming,"What is the best theory from cultural, social, and technological to understand society, innovation and sustainability?",brainstorming,The AI tools such as ChatGPT and Grammarly are used to refine the grammar and brainstorming,brainstorming,
EM,"I am preparing a 3000-word summative essay for a course called Society, Innovation and Sustainability. The assignment asks me to choose a contemporary social, cultural, or technological issue and analyse it using three theoretical frameworks introduced in the course. Please help me brainstorm several suitable essay topics and suggest which three theoretical frameworks might work well for each topic. Do not write the essay for me; only help me compare possible directions and explain why each topic could be academically interesting.",brainstorming,"I have chosen my essay topic and drafted a rough argument. Please act as a critical academic writing assistant and help me evaluate whether my argument is clear, balanced, and well-supported. Identify any weak points, missing counterarguments, or areas where I need stronger academic evidence. Do not rewrite the essay for me; give feedback that I can use to improve my own final version.",evaluating,"I used generative AI in a limited way to support the planning and review stages of this essay. Specifically, I used it to brainstorm possible essay topics, compare relevant theoretical frameworks, and receive feedback on the clarity and strength of my argument. The final topic choice, research, analysis, and written submission are my own work.",brainstorming,evaluating
MP,hey lm writting a 3000 words essay for a course on society innovation and sustainability can you give me a few suggestions on contemporary social technological issues,brainstorming,"lm analyzing specific topic through lens of theoretical framework what are the common academic of this framework, what specific tensions that may arise when applying to the mordenissue",writing parts,I used ai to brainstorm some of the ideas in my work,brainstorming,
EM,Cultural issue with theoretical framework,brainstorming,Structure for a 3000 essay on a cultural issue with one theoretical framework,writing parts,In this essay I conducted my own research however used a AI generative tool to clearly outline a structure. This allowed me to confirm my own ideas.,brainstorming,
MP,Can you find me three frameworks for this topic,brainstorming,Can you make sure you cannot tell I have used AI,writing parts,I would like to declare I have used AI to aid me in writing my essay. I have used it in regards to research and summarising but ultimately the ideas and overall writing are my own.,brainstorming,summarising
AR,"What are the theoretical frameworks associated with contempory social, cultural and technological issues?",brainstorming,Could you give me a list of further reading relating to these frameworks,literature review ,"AI was used in preliminary stages to produce a framework for my writing. AI was also used to help me identify relevent literature, which I was then able to personally evaluate.",brainstorming,literature review 
EM,"Give me some examples of social, cultural and technological issues faced by people living in the UK",brainstorming,Give me a list of sources including academic journals and news articles that explain these topics in greater detail,literature review ,Generative AI was primarily used in this assignment to explore topic ideas and find relevant academic sources. It was also used to refine the essay structure and correct grammatical errors.,brainstorming,literature review 
MP,help me write a plan for the structure of an essay on: ...,,what needs to be covered in each section,writing parts,"I used AI to help plan, refine and evaluate my essay, allowing it to suggest areas for improvement",brainstorming,evaluating
EM,"Give me examples of a few contemporary social, cultural, or technological issues that i can use to base my essay of and their theoretical frameworks.",brainstorming,"act as though you are a uk university professor, please grade this essay and give me feedback on what I can improve on.",evaluating,"In this essay I have utilised AI as an evaluator. After I had concluded writing and proof-reading my work I enlisted the help of a chatbot to help me further scrutinise and refine my work, from there I took the suggestions I felt to be relevant and edited my essay as I saw fit.",evaluating,
AR,"which style should I choose to summarise a assignment about society innovation and sustainabiltiy? these are the options: contemporary social issue, cultural issue, or tech issue.",brainstorming,can you explain to me why this is so important please,brainstorming,"in accordance with the policy for society, innovation and sustainability, I acknowledge the use of generative ai. specifically ai was used for brain storming. All writing remains entirely my own original work.",brainstorming,
EM,popular technological issue ongoing right now,brainstorming,put this into a topic to explore,brainstorming,AI has been used to for synonyms of specific words alongside evaluating where I could improve throughout the essay.,rewriting,evaluating
